Brand,Model,Rank,Benchmark,Cost,Value
Nvidia,RTX 3090-Ti,1,264,2400,9.09
Nvidia,RTX 3090,2,236,2200,9.32
Nvidia,RTX 3080-Ti,3,233,2000,8.58
Nvidia,RTX 3080,4,209,1850,8.85
Nvidia,Titan RTX,7,189,3000,15.8
Nvidia,RTX 2080-Ti,10,174,900,5.17
Nvidia,RTX 3070-Ti,11,170,750,4.41
Nvidia,Titan V,13,163,900,5.52
Nvidia,RTX 3070,14,155,700,4.51
Nvidia,Titan Xp,15,144,700,4
Nvidia,RTX 2080S (Super),17,138,650,4
Nvidia,GTX 1080-Ti,19,136,450,4.71
Nvidia,Titan X Pascal,21,133,450,3.38
Nvidia,RTX 3060-Ti,23,133,600,4.51
Nvidia,RTX 2080,24,129,750,5.81
Nvidia,RTX 2070S (Super),29,117,650,5.55
Nvidia,GTX 1080,35,106,350,3.3
Nvidia,RTX 2070,37,105,450,4.28
Nvidia,RTX 2060S (Super),41,99,450,4.54
Nvidia,RTX 3060,42,97,600,6.18
Nvidia,GTX 1070-Ti,43,96,300,3.125
Nvidia,RTX 2060,54,89,350,3.93
Nvidia,GTX 1070,59,81,250,3.08
Nvidia,GTX Titan X,65,77,600,7.79
Nvidia,GTX 1660-Ti,66,76,150,1.97
Nvidia,RTX 3050,69,73,450,6.61
Nvidia,GTX 1660S (Super),71,71,250,3.52
Nvidia,GTX 1660,74,69,250,3.62
Nvidia,GTX 980,80,61,150,2.45
Nvidia,GTX 1060-6GB,87,57,150,2.63
Nvidia,GTX 780-Ti,90,56,150,2.67
Nvidia,GTX 1060-3GB,96,53,150,2.83
Nvidia,GTX Titan Black,98,53,450,8.49
Nvidia,GTX 970,99,51,200,3.92
Nvidia,GTX 780,103,48,250,5.2
Nvidia,GTX Titan,105,47,300,6.38
Nvidia,GTX 780 4GB,106,47,150,3.19
Nvidia,GTX 1650,111,43,100,2.32
